b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'122633586',b'33.6483424',b'-117.8323008',b'samely',b'2512300',b'8',b'37595677',b'2016-03-03T20:10:22Z'
b'122633639',b'33.7094523',b'-117.7781899',b'SJFriedl',b'2709708',b'6',b'35936541',b'2015-12-14T01:42:28Z'
b'122633679',b'33.6884724',b'-117.8092728',b'ponzu',b'101657',b'5',b'7451129',b'2011-03-04T00:46:50Z'
b'122634867',b'33.6826304',b'-117.8029708',b'SJFriedl',b'2709708',b'6',b'34052145',b'2015-09-16T01:07:28Z'
b'122635007',b'33.6725056',b'-117.8564301',b'DrainBamaged',b'1402061',b'6',b'16557011',b'2013-06-14T22:30:36Z'
b'122635554',b'33.6404840',b'-117.8720422',b'ToeBee',b'262151',b'5',b'12443128',b'2012-07-23T05:09:19Z'
b'122635774',b'33.6193065',b'-117.7351689',b'woodpeck_fixbot',b'147510',b'4',b'3562701',b'2010-01-07T15:24:55Z'
b'122635858',b'33.7012360',b'-117.8753034',b'bhardwk',b'10114008',b'6',b'79050497',b'2019-12-31T10:14:04Z'
b'122636077',b'33.7052330',b'-117.7588091',b'SJFriedl',b'2709708',b'5',b'34352943',b'2015-09-30T18:22:02Z'
b'122636244',b'33.6611774',b'-117.8017823',b'SJFriedl',b'2709708',b'6',b'36115602',b'2015-12-22T22:51:07Z'
b'122636455',b'33.6678945',b'-117.7894413',b'SJFriedl',b'2709708',b'5',b'37066013',b'2016-02-07T19:08:39Z'
b'122636907',b'33.6999192',b'-117.8744771',b'ivansanchez',b'5265',b'5',b'13679530',b'2012-10-29T21:25:19Z'
b'122637423',b'33.6922363',b'-117.8033664',b'Christine_E',b'1707766',b'4',b'26136890',b'2014-10-17T04:20:48Z'
b'122637874',b'33.6344847',b'-117.8247314',b'SJFriedl',b'2709708',b'5',b'40194075',b'2016-06-22T00:19:10Z'
b'122638761',b'33.7023401',b'-117.7938392',b'SJFriedl',b'2709708',b'4',b'35094072',b'2015-11-05T05:03:13Z'
b'122639183',b'33.7377377',b'-117.7650673',b'SJFriedl',b'2709708',b'5',b'31651463',b'2015-06-02T00:17:25Z'
b'122639212',b'33.6994125',b'-117.8635155',b'Aaron Lidman',b'53073',b'7',b'16088340',b'2013-05-12T03:34:54Z'
b'122639593',b'33.6651003',b'-117.8200809',b'pravallg',b'10457692',b'7',b'79048856',b'2019-12-31T09:24:04Z'
